#### UTF-8 
#### 外国人名，中英对照的，大约有4万个
#### 共39687条
#### 来源维基百科(wikipedia), https://github.com/beifeng600

克利斯登·奈加特	Kristen Nygaard
威廉·杰克逊·胡克	William Hooker (botanist)
文森特·梵高	Vincent van Gogh
埃米尔·韦尔蒂	Emil Welti
保罗·策雷索莱	Paul Cérésole
约翰尼·雅各布·舍勒	Johann Jakob Scherer
萨特延德拉·玻色	Satyendra Nath Bose
约阿基姆·黑尔	Joachim Heer
马克·雅各布斯	Marc Jacobs
芭芭拉·利斯科夫	Barbara Jane Liskov
威廉·柯蒂斯	William Curtis
本哈德·海默	Bernhard Hammer
努马·德罗茨	Numa Droz
西蒙·巴维尔	Simeon Bavier
刘易斯·卢彻涅特	Louis Ruchonnet
约翰尼·卡尔·埃马纽埃尔·辛克	Karl Schenk
阿道夫·多伊歇尔	Adolf Deucher
托马斯·穆勒	Thomas Müller
汤马士·梅拿	Thomas Müller
威尔海姆·黑滕斯泰因	Wilhelm Hertenstein
威尔海姆·弗雷德里希·黑滕斯泰因	Wilhelm Hertenstein
瓦尔特·豪塞尔	Walter Hauser
雅典埃莱夫塞里奥斯·韦尼泽洛斯国际机场	Athens International Airport
意斯梅尔·塞拉諾	Ismael Serrano
钱德拉·鮑斯	Subhas Chandra Bose
内塔吉·苏巴斯·钱德拉·鲍斯国际机场	Netaji Subhas Chandra Bose International Airport
穆斯塔法·凯末尔·阿塔土克	Mustafa Kemal Atatürk
亚历山大·罗迪奇	Aleksandar Rodić
卡尔·尤利乌斯·佩勒布	Karl Julius Perleb
罗马-菲乌米奇诺列奥纳多·达芬奇机场	Leonardo da Vinci-Fiumicino Airport
绍卡多·飛柳國際機場	Salgado Filho International Airport
冯·诺伊曼计算机	Von Neumann machine
汤姆·韋迪卡	Tom Whittaker (footballer)
伯纳德·麦道夫	Bernard Madoff
安达臣·羅拔圖·達施華·路尔斯	Anderson Roberto da Silva Luiz
洛·侯斯	Rob Hulse
苏丹马末·依斯干达	Iskandar of Johor
苏丹·伊斯坎达尔·穆塔瓦基尔·安拉	Iskandar of Johor
安东尼·阿贝提	Antonio Abetti
让-路易·比昂构	Jean-Louis Bianco
柳德米拉·安德列耶夫娜·库普里亚诺娃	Ludmila Kuprianova
安德森·罗伯托·达·席尔瓦·鲁伊兹	Anderson Roberto da Silva Luiz
里约热内卢/加利昂－安东尼奥·卡洛斯·若比姆国际机场	Rio de Janeiro-Galeão International Airport
雅各布·凯特莱	Jacob Kettler
萨尔瓦多－路易斯·爱德华多·马加良斯议员国际机场	Deputado Luís Eduardo Magalhães International Airport
吉尔伯特·弗雷耶	Gilberto Freyre
累西腓/瓜拉拉皮斯－吉尔贝托·弗雷雷国际机场	Recife Airport
马瑙斯－爱德华多·戈梅斯国际机场	Eduardo Gomes International Airport
贾特拉帕蒂·希瓦吉国际机场	Chhatrapati Shivaji International Airport
本·古里安国际机场	Ben Gurion International Airport
阿瑟·克朗奎斯特	Arthur Cronquist
塞缪尔·施莱特	Samuel Slater
珍娜·荷茲	Jenna Haze
松卓·雷爾克	Sondre Lerche
安德烈·史杜利亞路夫	Andrei Stoliarov
西蒙·沙玛	Simon Schama
菲娜·杜舒芬娜	Vera Dushevina
路易斯·亨利·摩爾根	Lewis H. Morgan
露丝·潘乃德	Ruth Benedict
法比奥·奧利里奧	Fábio Aurélio
让-弗朗索瓦·高备	Jean-François Copé
贝鲁特－拉菲克·哈里里国际机场	Beirut Rafic Hariri International Airport
穆罕默德·本·阿卜杜勒-阿齐兹亲王国际机场	Prince Mohammad Bin Abdulaziz Airport
安德森·罗伯托·达席尔瓦·鲁伊兹	Anderson Roberto da Silva Luiz
麦可·奧克隆德·萊維特	Mike Leavitt
罗伯特·安森·海萊因	Robert A. Heinlein
安东尼奥·韋瓦第	Antonio Vivaldi
安东尼奥·韋華第	Antonio Vivaldi
路易斯-维克多·德·布罗意	Louis de Broglie
路易·德布羅意	Louis de Broglie
保罗·萨内尔	Paul Scharner
罗克士·潘尼	Roxy Paine
唐纳·蘇澤蘭	Donald Sutherland
圣地亚哥·德古巴	Santiago de Cuba
彼德·威特根斯坦	Peter Wittgenstein
潘维尔·奇恰戈夫	Pavel Chichagov
彼得·維特根施泰因	Peter Wittgenstein
路易-維克多·德·布羅意	Louis de Broglie
康斯坦丁·史坦尼斯拉夫斯基	Constantin Stanislavski
亨利·普賽爾	Henry Purcell
亨利·珀塞爾	Henry Purcell
伊巴谦·巴亞	Ibrahim Ba
列昂纳多·夏夏	Leonardo Sciascia
罗马—菲乌米奇诺列奥纳多·达芬奇机场	Leonardo da Vinci-Fiumicino Airport
式波·明日香·蘭格雷	Asuka Langley Soryu
约翰·卢卡斯·舍恩来因	Johann Lukas Schönlein
阿尔维德·卡尔森	Arvid Carlsson
阿尔维德·卡爾森	Arvid Carlsson
路德维希·阿道夫·蒂莫特乌斯·拉德尔科菲	Ludwig Adolph Timotheus Radlkofer
侯赛因·宾·塔拉勒	Hussein of Jordan
约瑟夫·冯·夫琅和费	Joseph von Fraunhofer
约瑟夫·夫朗和斐	Joseph von Fraunhofer
拉合尔阿拉马·伊克巴勒国际机场	Allama Iqbal International Airport
伊斯兰堡贝娜齐尔·布托国际机场	Benazir Bhutto International Airport
约翰·馬克維奇	John Malkovich
约翰·馬可維奇	John Malkovich
迈克尔·路易斯·弗兰德利	Michael Friendly
贝娜齐尔·布托國際機場	Benazir Bhutto International Airport
克里斯蒂安·维埃里	Christian Vieri
菲利普·克雷文	Philip Craven
伯纳德·馬多夫	Bernard Madoff
埃马纽埃尔·德拉克·德尔卡斯蒂洛	Emmanuel Drake del Castillo
约翰·冯诺依曼奖	IEEE John von Neumann Medal
皮埃尔·貝爾傑	Pierre Bergé
皮埃尔·贝尔热	Pierre Bergé
皮埃尔·貝爾熱	Pierre Bergé
迪特里克·布克斯特胡德	Dieterich Buxtehude
楚克·薩克瑞科	Chookiat Sakveerakul
麦可·歐文	Michael Owen
额我略·纳齐盎	Gregory of Nazianzus
路易·爱德华·比罗	Louis Édouard Bureau
毛里西奥·富内斯	Mauricio Funes
克里斯蒂娜·费尔南德斯·德·基什内尔	Cristina Fernández de Kirchner
安德里·拉乔利纳	Andry Rajoelina
哥吉拉·伊比拉·摩斯拉南海大决斗	Godzilla vs. the Sea Monster
查尔斯·巴里	Charles Barry
奥古斯塔斯·普金	Augustus Welby Northmore Pugin
奥古斯都·皮然	Augustus Welby Northmore Pugin
贾莱斯·吉尔伯特·斯科特	Giles Gilbert Scott
贾莱斯·斯科特	Giles Gilbert Scott
奥古斯丁·路易·科西	Augustin-Louis Cauchy
诺曼·肖大楼	Norman Shaw Buildings
堂·A.·亚当斯	Don Alden Adams
约翰·索恩	John Soane
保罗·路透	Paul Reuter
保罗·朱利斯·路透	Paul Reuter
汤玛士·傑克森	Stonewall Jackson
让-皮埃尔·巴利钢	Jean-Pierre Balligand
法拉本多·马蒂民族解放阵线	Farabundo Martí National Liberation Front
约翰·肯尼迪遇刺事件	Assassination of John F. Kennedy
瓦尔迪斯·东布罗夫斯基斯	Valdis Dombrovskis
约翰·肯尼迪遇刺案	Assassination of John F. Kennedy
小约瑟夫·帕特里克·肯尼迪	Joseph P. Kennedy, Jr.
老约瑟夫·帕特里克·肯尼迪	Joseph P. Kennedy, Sr.
姆拉登·克尔斯塔伊奇	Mladen Krstajić
伊芙琳·林肯	Evelyn Lincoln
杰克·肯尼迪	John F. Kennedy
杰弗里·英格拉姆·泰勒	Geoffrey Ingram Taylor
皮埃尔·路易·莫佩爾蒂	Pierre Louis Maupertuis
伊维察·德拉古蒂诺维奇	Ivica Dragutinović
康斯坦丁·萨米埃尔·拉菲内克-施马尔茨	Constantine Samuel Rafinesque
沙达·瓦拉汉·佩帖尔	Vallabhbhai Patel
萨达尔·瓦拉巴伊·帕特尔国际机场	Sardar Vallabhbhai Patel International Airport
拉吉夫·甘地国际机场	Rajiv Gandhi International Airport
巴巴萨海布·阿姆倍伽尔博士国际机场	Dr. Babasaheb Ambedkar International Airport
亚西尔·阿拉法特国际机场	Yasser Arafat International Airport
拉吉夫·甘地國際機場	Rajiv Gandhi International Airport
大卫·克劳斯	David Kross
亚历克桑达·罗迪克	Aleksandar Rodić
百合子·奥米伽	Imperial characters of Command & Conquer#Psionicist Yuriko Omega
百合子·奥米茄	Imperial characters of Command & Conquer#Psionicist Yuriko Omega
百合子·欧米茄	Imperial characters of Command & Conquer#Psionicist Yuriko Omega
弗里德里希·戈特利布·巴特林	Friedrich Gottlieb Bartling
大卫·本-古理安	David Ben-Gurion
白赖仁·甸尼	Brian Deane
亚努皮·迪賽	Anoop Desai
亨利·哈德遜	Henry Hudson
沃尔特·贝拉米	Walt Bellamy
埃里克·戈登	Eric Gordon
贾斯汀·賀迪	Justin Hoyte
斯马什·帕克	Smush Parker
西勒万·列维	Sylvain Lévi
埃米勒-路易·布尔奴夫	Émile-Louis Burnouf
路易·勒努	Louis Renou
李·卓文	Lee Chapman
莱昂德罗·内托	Leandro Netto de Macedo
尚恩·菲南	Shane Filan
奥比·莫尼克	Obi Emmanuel Moneke
玛格利特·撒切尔	Margaret Thatcher
加尔夫·巴利	Gareth Barry
胡阿里·布迈丁机场	Houari Boumediene Airport
阿尔及尔胡阿里·布迈丁国际机场	Houari Boumediene Airport
贝鲁特-拉菲克·哈里里国际机场	Beirut Rafic Hariri International Airport
贝鲁特拉菲克·哈里里国际机场	Beirut Rafic Hariri International Airport
巴西利亚－儒塞利诺·库比契克总统国际机场	Brasília International Airport
里约热内卢/加利昂安东尼奥·卡洛斯·若比姆国际机场	Rio de Janeiro-Galeão International Airport
萨尔瓦多路易斯·爱德华多·马加良斯议员国际机场	Deputado Luís Eduardo Magalhães International Airport
累西腓/瓜拉拉皮斯吉尔贝托·弗雷雷国际机场	Recife Airport
马瑙斯爱德华多·戈梅斯国际机场	Eduardo Gomes International Airport
圣保罗/瓜鲁柳斯安德烈·弗朗哥·蒙托罗州长国际机场	São Paulo-Guarulhos International Airport
珍·康萍	Jane Campion
丹尼斯·阿坎德	Denys Arcand
巴西利亚儒塞利诺·库比契克总统国际机场	Brasília International Airport
圣保罗/瓜鲁柳斯-安德烈·弗朗哥·蒙托罗州长国际机场	São Paulo-Guarulhos International Airport
马瑙斯-爱德华多·戈梅斯国际机场	Eduardo Gomes International Airport
累西腓/瓜拉拉皮斯-吉尔贝托·弗雷雷国际机场	Recife Airport
萨尔瓦多-路易斯·爱德华多·马加良斯议员国际机场	Deputado Luís Eduardo Magalhães International Airport
里约热内卢/加利昂-安东尼奥·卡洛斯·若比姆国际机场	Rio de Janeiro-Galeão International Airport
阿尔及尔—胡阿里·布迈丁国际机场	Houari Boumediene Airport
累西腓/瓜拉拉皮斯—吉尔贝托·弗雷雷国际机场	Recife Airport
萨尔瓦多—路易斯·爱德华多·马加良斯议员国际机场	Deputado Luís Eduardo Magalhães International Airport
马瑙斯—爱德华多·戈梅斯国际机场	Eduardo Gomes International Airport
贝鲁特—拉菲克·哈里里国际机场	Beirut Rafic Hariri International Airport
里约热内卢/加利昂—安东尼奥·卡洛斯·若比姆国际机场	Rio de Janeiro-Galeão International Airport
巴西利亚—儒塞利诺·库比契克总统国际机场	Brasília International Airport
罗马—菲乌米奇诺列奥纳多·达芬奇国际机场	Leonardo da Vinci-Fiumicino Airport
威尼斯—泰塞拉马可·波罗国际机场	Venice Marco Polo Airport
圣保罗/瓜鲁柳斯—安德烈·弗朗哥·蒙托罗州长国际机场	São Paulo-Guarulhos International Airport
杰克·万斯	Jack Vance
路易·德·拉·瓦利-普桑	Louis de La Vallée-Poussin
德斯蒙德·梅森	Desmond Mason
路德维希·普朗特	Ludwig Prandtl
凯瑟琳·塞貝流士	Kathleen Sebelius
凯瑟琳·瑟比列斯	Kathleen Sebelius
玛丽亚·斯克沃多夫斯卡-居里	Marie Curie
埃坚纳·拉冒特	Étienne Lamotte
赖因哈德·特里斯坦·欧根·海德里希	Reinhard Heydrich
樊尚·奥里奥尔	Vincent Auriol
保罗-亨利·斯巴克	Paul-Henri Spaak
理察·奧雲	Richard Owen
威利斯·康诺弗	Willis Conover
威里斯·康诺弗	Willis Conover
伊拉基·巴西里	Iraj Bashiri
亚当·贝尔加拉	Adán Vergara
卡洛斯·塞巴洛斯	Carlos Ceballos
乔治·索雷尔	Georges Sorel
亚历山大·卡斯洛夫	Aleksandr Kletskov
乔治·索雷尔乔治·索雷尔	Georges Sorel
乔治·尤金·索雷尔	Georges Sorel
欧文·罗伯茨国际机场	Owen Roberts International Airport
特拉维斯·迪安纳	Travis Diener
里克·施密茨	Rik Smits
达喀尔－约夫－利奥波德·塞达尔·桑戈尔国际机场	Léopold Sédar Senghor International Airport
艾兹格·迪科斯彻	Edsger W. Dijkstra
宾·科士打(演员)	Ben Foster (actor)
本·福斯特	Ben Foster (footballer)
宾·科士打	Ben Foster
巴塞勒·阿萨德国际机场	Bassel Al-Assad International Airport
阿龙·阿龙索赫恩	Aaron Aaronsohn
伊丽莎白·阿马利亚·欧根妮	Empress Elisabeth of Austria
约翰·阿博特	John Abbot (entomologist)
哈默·海瑟	Hamo Hethe
巴托罗缪·夏尔·约瑟·杜莫蒂尔	Barthélemy Charles Joseph Dumortier
赛义德·易卜拉欣王子国际机场	Prince Said Ibrahim International Airport
查尔斯·京士福特·史密夫	Charles Kingsford Smith
阿卜杜勒·阿齐兹·本·阿卜杜勒·拉赫曼·阿勒沙特	Ibn Saud
阿卜杜勒-阿齐兹·尼基耶马	Abdoul-Aziz Nikiema
乌戈·卡雷拉	Hugo Carreira
马克·苏卡纳茨	Marko Sočanac
帕斯卡·孔达波尼	Pascal Kondaponi
古历来·阿密特	A-mei
班·奇夫利	Ben Chifley
麦尔坎·福瑞澤	Malcolm Fraser
约瑟夫·M·阿卡巴	Joseph M. Acaba
约瑟夫·钱柏林钟塔	Joseph Chamberlain Memorial Clock Tower
安妮·克拉克	St. Vincent (musician)
洛伦·阿克顿	Loren Acton
普拉西多·杜明高	Plácido Domingo
亨利·珀賽爾	Henry Purcell
卡尔·奧福	Carl Orff
贝尼托·华雷斯	Benito Juárez
墨西哥城贝尼托·胡亚雷斯国际机场	Mexico City International Airport
穆塔拉·拉马特·穆罕默德	Murtala Mohammed
穆尔塔拉·穆罕默德国际机场	Murtala Muhammed International Airport
本·奇夫利	Ben Chifley
标·羅素	Bill Russell
拉里·奧布賴恩冠軍獎盃	Larry O'Brien Championship Trophy
卡里姆·阿卜杜勒·渣巴	Kareem Abdul-Jabbar
朱利叶斯·伊榮	Julius Erving
马克·范·羅斯瑪倫	Marc van Roosmalen
巴尔托洛梅奥·哥倫布	Bartholomew Columbus
理察·歐文	Richard Owen
艾伯特·布洛克里	Albert R. Broccoli
安祖亚·杜辛拿	Andrea Dossena
朱利叶斯·尼雷尔国际机场	Julius Nyerere International Airport
戴维·艾森豪威尔	Dwight D. Eisenhower
杰奎琳·肯尼迪·奥纳西斯	Jacqueline Kennedy Onassis
让-巴都·博卡萨	Jean-Bédel Bokassa
理查·艾許克勞夫特	Richard Ashcroft
伊塞亚·奧斯邦尼	Isaiah Osbourne
尼克·肖雷	Nicky Shorey
威廉·亨利·比爾·盖兹三世	Bill Gates
米格尔·安赫尔·纳达尔	Miguel Ángel Nadal
克里斯·艾倫	Kris Allen
弗朗西斯·畢卡比亞	Francis Picabia
尤安·纳西奥·莒尼奥尔	João Inácio Junior
巴伯罗·畢卡索	Pablo Picasso
约翰·凱恩斯	John Maynard Keynes
沃尔特·A·布朗冠軍獎盃	List of NBA champions#Walter A. Brown Trophy
杜恩·強森	Dwayne Johnson
德威恩·約翰遜	Dwayne Johnson
安东尼·庇烏斯	Antoninus Pius
莱因哈德·泽尔腾	Reinhard Selten
莱因哈特·海德里希	Reinhard Heydrich
凯尔·洛里	Kyle Lowry
尔特·A·布朗冠軍獎盃	List of NBA champions#Walter A. Brown Trophy
禾特·A·布朗冠軍獎盃	List of NBA champions#Walter A. Brown Trophy
何塞·卡尔德隆	José Calderón (basketball)
内内·希拉里奥	Nenê
斯凡特·奥古斯特·阿累尼乌斯	Svante Arrhenius
杰西·詹姆斯	Jesse James
艾丽森·艾拉希塔	Allison Iraheta
卡尔·冯·迪特斯多夫	Carl Ditters von Dittersdorf
亨利·哈得遜	Henry Hudson
约翰·巴蒂斯特·万哈尔	Johann Baptist Vanhal
亨利·哈德孫	Henry Hudson
亨利·哈得孫	Henry Hudson
路易斯·施波尔	Louis Spohr
彼得·魏斯	Peter Weiss
安德鲁·欧文	Andrew Irvine (mountaineer)
迈克蒂亚西蒙·玻利瓦尔国际机场	Simón Bolívar International Airport (Venezuela)
伽柏·丹尼斯	Dennis Gabor
加柏·丹尼斯	Dennis Gabor
西沃萨古尔·拉姆古兰爵士国际机场	Sir Seewoosagur Ramgoolam International Airport
柏纳德·李	Bernard Lee
戴斯蒙·李維林	Desmond Llewelyn
海伦·卓克	Helen Troke
米克·格拿	Mike Grella
巴兹·雷曼	Baz Luhrmann
珂丝坦·拉森	Kirsten Larsen
何塞·马蒂国际机场	José Martí International Airport
内维尔·弗朗西斯·莫脱	Nevill Francis Mott
乔治·德·拉图尔	Georges de La Tour
西尔万·埃班克斯-布莱克	Sylvan Ebanks-Blake
亚丁·阿德国际机场	Aden Adde International Airport
纳姆迪·阿齐基韦国际机场	Nnamdi Azikiwe International Airport
约翰·道耳頓	John Dalton
约翰·柯克勞夫	John Cockcroft
欧内斯特·沃吞	Ernest Walton
欧文·威兰斯·里查孙	Owen Willans Richardson
胡安·圣玛丽亚国际机场	Juan Santamaría International Airport
艾力克·史托克斯	Alex Stokes
乔治·湯姆森	George Paget Thomson
乔治·汤姆孙	George Paget Thomson
卡尔·拉格斐	Karl Lagerfeld
克里斯滕·斯图尔特	Kristen Stewart
罗伯特·帕廷森	Robert Pattinson
斯蒂芬妮·迈耶	Stephenie Meyer
J·R·亨德森	J. R. Sakuragi
沃尔特·a·布朗冠军奖杯	List of NBA champions#Walter A. Brown Trophy
马特·费耶特	Matty Fryatt
沃尔特·A·布朗冠军奖杯	List of NBA champions#Walter A. Brown Trophy
米斯本·西迪	Misbun Sidek
伊格纳茨·冯·塞塞沃维奇	Ignaz von Szyszyłowicz
卡尔·安东·欧根·普兰特尔	Karl Anton Eugen Prantl
查尔斯·汤姆森·里斯·威耳孙	Charles Thomson Rees Wilson
盖达尔·阿利耶夫国际机场	Heydar Aliyev International Airport
魁北克让·勒萨热国际机场	Québec City Jean Lesage International Airport
姬丝汀·史超域	Kristen Stewart
阿特·包可華	Art Buchwald
阿特·布赫瓦爾德	Art Buchwald
约翰·保斯托	John Bostock
乔治·埃利奥特	George Eliot
欧内斯特·瓦耳顿	Ernest Walton
叶丽萨维塔·彼得罗芙娜·罗曼诺娃	Elizabeth of Russia
大卫·顿	David Don
劳勃·華特生-瓦特	Robert Watson-Watt
谢赫·大哈散王公	Hasan Buzurg
谢赫·乌畏思	Shaikh Uvais
亨瑞·柯恩达	Henri Coandă
布加勒斯特奥托佩尼－亨利·科安德国际机场	Henri Coandă International Airport
亨利·科安德国际机场	Henri Coandă International Airport
布加勒斯特伯尼亚萨－奥雷尔·弗拉伊库国际机场	Aurel Vlaicu International Airport
奥雷尔·弗拉伊库国际机场	Aurel Vlaicu International Airport
卡尔·馬克思市	Chemnitz
罗纳德·里根华盛顿国家机场	Ronald Reagan Washington National Airport
巴尔的摩/华盛顿瑟古德·马歇尔国际机场	Baltimore/Washington International Thurgood Marshall Airport
查尔斯·威爾森	Charles Thomson Rees Wilson
莫纳斯提尔哈比卜·布尔吉巴国际机场	Monastir Habib Bourguiba International Airport
哈利法克斯罗伯特·洛恩·斯坦菲尔德国际机场	Halifax Stanfield International Airport
温尼伯詹姆斯·阿姆斯特朗·理查森国际机场	Winnipeg James Armstrong Richardson International Airport
萨斯卡通约翰·乔治·迪芬贝克国际机场	Saskatoon John G. Diefenbaker International Airport
霍齐亚·库塔科国际机场	Windhoek Hosea Kutako International Airport
吉莉安·克拉克	Gillian Clark (badminton)
乔治·顿	George Don
亚伯拉罕·鲁比科夫	Abraham A. Ribicoff
亚伯拉罕·亚历山大·鲁比科夫	Abraham A. Ribicoff
马丹·蓋赫	Martin Guerre
帖木儿·忽格鲁特	Temur Qutlugh
约翰·卡尔·芒罗哈密尔顿国际机场	John C. Munro Hamilton International Airport
阿瑟·法登	Arthur Fadden
埃德加·愛倫·坡獎	Edgar Award
罗曼·特梅图厄尔国际机场	Roman Tmetuchl International Airport
埃里克·尼爾森白馬國際機場	Erik Nielsen Whitehorse International Airport
肯尼思·卡翁达国际机场	Lusaka International Airport
詹姆斯·拉姆齐·麦克唐纳	Ramsay MacDonald
哈比卜·布尔吉巴	Habib Bourguiba
克劳德·奧欽列克	Claude Auchinleck
克劳德·奧金萊克	Claude Auchinleck
加斯帕德·尤利尔	Gaspard Ulliel
纳吉布·拉扎克	Najib Razak
纳吉布·敦·拉扎克	Najib Razak
卡尔·史瓦茲旭爾得	Karl Schwarzschild
让·達朗白	Jean le Rond d'Alembert
西奥多·舒尔茨	Theodore Schultz
诺拉·佩里	Nora Perry
诺拉·嘉德納	Nora Perry
马修·葛雷·古博勒	Matthew Gray Gubler
吉莉安·吉爾克斯	Gillian Gilks
吉莉安·佩林	Gillian Gilks
吉莉安·古德溫	Gillian Gilks
马丁·杜	Martin Dew
路西安奴·比治奧	Luciano Becchio
卡塔琳娜·冯·博拉	Katharina von Bora
宾·屈臣	Ben Watson (footballer)
巴托尔梅·德拉斯卡萨斯	Bartolomé de las Casas
约翰·乔治·迪芬贝克	John Diefenbaker
小威廉·F·巴克利	William F. Buckley, Jr.
小威廉·巴克利	William F. Buckley, Jr.
卡尔利斯·乌尔马尼斯	Kārlis Ulmanis
荷黑·紐尼茲	Jorge Núñez (singer)
马特·吉拉德	Matt Giraud
丹尼·寇奇	Danny Gokey
莉·隆斯	Lil Rounds
伊曼纽·阿德巴約	Emmanuel Adebayor
纳吉布·拉札克	Najib Razak
伊斯梅尔·恩里克·阿尔瓦拉多	Ismael Alvarado
阿曼德·依波利特·路易斯·斐索	Hippolyte Fizeau
罗伯特·S·麦克纳马拉	Robert McNamara
阿曼德·菲左	Hippolyte Fizeau
帕西·灰普	Percy Whipp
神奇宝贝钻石·珍珠篇	Pokémon Diamond and Pearl Adventure!
艾伦·斯蒂芬森·博伊德	Alan Stephenson Boyd
萨比哈·格克琴国际机场	Sabiha Gökçen International Airport
基斯·高漢	Chris Cohen
基斯·科恩	Chris Cohen
拉尔斯·勒克·拉斯穆森	Lars Løkke Rasmussen
布兰妮·斯皮尔斯获得的奖项与提名列表	List of awards and nominations received by Britney Spears
弗兰克·施莱克	Fränk Schleck
C·道格拉斯·狄龙	C. Douglas Dillon
安诺斯·拉斯穆森	Anders Fogh Rasmussen
拉尔斯·拉斯穆森	Lars Løkke Rasmussen
萨尔茨堡沃尔夫冈·阿马多伊斯·莫扎特机场	Salzburg Airport
安达臣·路易斯·迪·阿布努·奧利維拉	Anderson Luís de Abreu Oliveira
帕特里斯·艾夫華	Patrice Evra
帕特里斯·艾夫拿	Patrice Evra
J·爱德华·戴	J. Edward Day
比利·密里根	Billy Milligan
安迪·羅賓遜	Andy Robinson (footballer)
格奥尔基·伊万诺夫	Gjorge Ivanov
奥古斯托·塞萨尔·桑地诺国际机场	Augusto C. Sandino International Airport
乔丹·舍费尔	Jordan Schafer
克里斯·金基斯	Chris Kempling
金·基尔兴	Kim Kirchen
拉昔夫·西迪	Razif Sidek
贾兰尼·西迪	Jalani Sidek
耶兰尼·西迪	Jalani Sidek
比利·吉里蘭德	Billy Gilliland
柯林·漢克斯	Colin Hanks
亚历山大·科洛布涅夫	Alexandr Kolobnev
卡兰·迪伦	Cara Dillon
夏洛特·佩雷利	Charlotte Perrelli
扬·馬特爾	Yann Martel
佩里·科莫	Perry Como
赫伯特·肯尼斯·艾里·肖	Herbert Kenneth Airy Shaw
艾里·肖	Herbert Kenneth Airy Shaw
罗拔·辛迪加斯	Robert Snodgrass
菲利普·安德森	Philip Warren Anderson
安托万·德·圣-埃克絮佩里	Antoine de Saint-Exupéry
小约瑟夫·肯尼迪	Joseph P. Kennedy, Jr.
阿米尔卡·加布拉尔国际机场	Amílcar Cabral International Airport
李·卡特摩尔	Lee Cattermole
萨博·塞福罗萨	Thabo Sefolosha
玩笑(米兰·昆德拉)	The Joke (novel)
利安纳·格魯站	Lionel-Groulx (Montreal Metro)
瓦斯切劳·赫莱布	Vyacheslav Hleb
恩斯特·弗里德里希·吉尔格	Ernest Friedrich Gilg
埃卢·庭葛	Thingol
安诺希·波格朗站	Honoré-Beaugrand (Montreal Metro)
吕思安·拉利耶站	Lucien-L'Allier (Montreal Metro)
佐治·雲尼亞站	Georges-Vanier (Montreal Metro)
乌戈·贡克尔·吕埃尔	Hugo Gunckel Lüer
昂利·布哈沙站	Henri-Bourassa (Montreal Metro)
吉姆·柏瑞哲	Jim Bridger
詹姆斯·柏瑞哲	Jim Bridger
兰迪·弗耶	Randy Foye
黛米·摩尔	Demi Moore
斯捷潘·梅西奇	Stjepan Mesić
斯杰潘·梅西奇	Stjepan Mesić
奕德华·蒙比提站	Édouard-Montpetit (Montreal Metro)
福斯特·弗科洛	Foster Furcolo
基罗·格利戈罗夫	Kiro Gligorov
亚历山大·萨卡里科夫	Aleksandr Zakharikov
约翰·吉尔伯特·贝克	John Gilbert Baker
穆迪博·威廉·保羅	William Modibo
马特·麥凱	Matt McKay
巴安尼米亚·舒巴希奇	Branimir Subašić
谢佛逊·干斯爾奧	Jefferson Feijão
威尔·罗杰斯世界机场	Will Rogers World Airport
威廉·佩特斯·霍比机场	William P. Hobby Airport
米娅·哈姆	Mia Hamm
尼克·格林	Nick Green (infielder)
比利·麥安達	Billy Mwanza
乌马尔·孔德	Oumar Kondé
金尼·伍德利	Johnny Woodly Lambert
何塞·杜尔特	José Filho Duarte
迪奥哥·德·利马·巴塞罗斯	Diogo de Lima Barcelos
摩西斯·薩基	Moses Sakyi
毕·蘭卡斯特	Burt Lancaster
毕·蘭加士打	Burt Lancaster
伯特·兰开斯特	Burt Lancaster
吉恩·奥特里	Gene Autry
金·贝辛杰	Kim Basinger
斯蒂芬·克罗克	Steve Crocker
乌拉·施密特	Ulla Schmidt
托马斯·米基利	Thomas Midgley, Jr.
艾尔·杰弗逊	Al Jefferson
阿尔·杰弗森	Al Jefferson
图克·拉科松南	Tom of Finland
艾蒂安·皮埃尔·旺特纳	Étienne Pierre Ventenat
乔纳斯·萨利	Jonas Salley
马尔文·艾维拉	Marvin Ávila
阿莱克斯·尼古拉耶夫	Aleksey Nikolaev
杰西·李佛摩	Jesse Lauriston Livermore
马沙美素·昌盖	Massamasso Tchangai
乔伊·達利	Joey Dawley
珍妮佛·瑟萊娜	Jennifer Serrano
兰恩·奥古斯图·马基斯	Renan Marques
马拉·莫其德	Mouchid Iyane Ly
马克·布歷治	Mark Bridge
安迪·費利拿·達·施华	André Ferreira da Silva
法兰斯高·泰利臣·迪·苏沙	Francisco Jaílson de Sousa
马度·拿尼積克	Mato Neretljak
米高·謝佛遜·拿斯文度	Michael Jefferson Nascimento
列拿度·卡路士·馬田斯·祖利亚	Renato Carlos Martins Júnior
基列顿·列比路	Gilton Ribeiro
安德烈斯·弗洛爾	Andreas Floer
保罗·安東尼奧·達·奥利华拉	Paulo Antônio de Oliveira
爱德华·高夫·惠特蘭	Gough Whitlam
斯图尔特·皮尔斯	Stuart Pearce
尼克·亞登哈特	Nick Adenhart
布莱克·格里芬	Blake Griffin
比尔·布拉德利	Bill Bradley
保罗·亨利·奧尼爾	Paul O'Neill (Secretary of the Treasury)
小亨利·梅里特·保爾森	Henry Paulson
弗拉基米尔·伊里奇·列寧	Vladimir Lenin
